,0,1,2,3
36.1,6.136151723,1.062130674,2.187010888,2.163702781
36.2,5.012412536,5.652536802,3.057358055,1.164065745
36.3,0.74312393,1.580763996,3.23684474,4.382364365
36.4,1.284022986,2.357080642,4.209093166,3.290040526
36.5,2.975107025,1.828057793,14.54551912,1.573598599
36.6,0.806129491,0.582672964,1.240982614,3.832076367
36.7,4.83847836,1.590042584,1.904748155,1.326541482
36.8,1.082402046,0.408266292,3.642698466,1.337899247
36.9,1.542873449,9.046346548,0.17166372,0.648866438
37,0.471079399,3.879964585,0.125611847,0.479480572
37.1,1.046472368,3.805810971,0.780636603,0.761349906
37.2,1.914236081,3.827925899,0.862970432,1.375403148
37.3,0.823405782,13.81369079,0.84917632,0.892426703
37.4,4.326129401,0.66610642,0.217905858,1.243937131
37.5,1.809276195,3.990911332,1.476266571,0.281466058
37.6,4.06221795,0.841283477,1.281177115,0.981694571
37.7,1.788310118,3.151118467,0.612517697,0.067985464
37.8,1.31227612,1.238515451,1.224308791,4.011132021
37.9,3.467763528,2.79228716,1.461008889,0.228293404
38,0.512397383,0.820643136,3.329813068,34.53893587
38.1,0.864669727,0.656790936,3.786626532,0.82622905
38.2,0.882164789,0.588193991,0.933168924,3.19270337
38.3,1.381207653,0.415571939,613.7892857,78.35818341
38.4,0.349500169,7.014730609,0.554154516,1.299387632
38.5,44.95607151,8.621516596,9.855040744,0.851354542
38.6,4.511208278,11.29429769,0.046618335,32.86292795
38.7,300.7386964,0.536305875,1.477316441,0.072351142
38.8,2.043105878,0.655334192,0.66115844,3.545426844
38.9,0.376652649,0.650634426,59.86537172,68.03631172
39,1.030425979,102.8707525,0.41392122,0.198853654
39.1,10.58921028,0.102870348,0.119685249,1.683432783
39.2,0.395140352,0.501152021,48.65110739,50.88347929
39.3,1.769393972,0.375971158,82.29862816,150.3116122
39.4,18.3189025,0.728902163,106.615923,50.93182845
39.5,45.78041028,0.433023743,0.547073256,5.788222011
39.6,56.08816642,18.82321981,61.99613087,8.718532688
